id,type,attack_id,attack_name,attack_description
attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,['ics-attack'],['T0803'],Block Command Message,adversaries may block a command message from reaching its intended target to prevent command execution  in ot networks  command messages are sent to provide instructions to control system devices  a blocked command message can inhibit response functions from correcting a disruption or unsafe condition   citation  bonnie zhu  anthony joseph  shankar sastry         citation  electricity information sharing and analysis center  sans industrial control systems march      
attack-pattern--063b5b92-5361-481a-9c3f-95492ed9a2d8,['ics-attack'],['T0881'],Service Stop,adversaries may stop or disable services on a system to render those services unavailable to legitimate users  stopping critical services can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment   citation  enterprise att ck   services may not allow for modification of their data stores while running  adversaries may stop services in order to conduct data destruction   citation  enterprise att ck 
attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,['ics-attack'],['T0836'],Modify Parameter,adversaries may modify parameters used to instruct industrial control system devices  these devices operate via programs that dictate how and when to perform actions based on such parameters  such parameters can determine the extent to which an action is performed and may specify additional options  for example  a program on a control system device dictating motor processes may take a parameter defining the total number of seconds to run that motor         an adversary can potentially modify these parameters to produce an outcome outside of what was intended by the operators  by modifying system and process critical parameters  the adversary may cause  to equipment and or control processes  modified parameters may be turned into dangerous  out of bounds  or unexpected values from typical operations  for example  specifying that a process run for more or less time than it should  or dictating an unusually high  low  or invalid value as a parameter_  in the maroochy shire attack  the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way  the software program installed in the laptop was one developed for changing configurations in the pds computers  this ultimately led to         liters of raw sewage being spilled out into the community_ citation  marshall abrams july      
attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,['ics-attack'],['T0821'],Modify Controller Tasking,adversaries may modify the tasking of a controller to allow for the execution of their own programs  this can allow an adversary to manipulate the execution flow and behavior of a controller    according to          the association of a task with a program organization unit  pou  defines a task association   citation  iec february       an adversary may modify these associations or create new ones to manipulate the execution flow of a controller  modification of controller tasking can be accomplished using a program download in addition to other types of program modification such as online edit and program append_  tasks have properties  such as interval  frequency and priority to meet the requirements of program execution  some controller vendors implement tasks with implicit  pre defined properties whereas others allow for these properties to be formulated explicitly  an adversary may associate their program with tasks that have a higher priority or execute associated programs more frequently  for instance  to ensure cyclic execution of their program on a siemens controller  an adversary may add their program to the task  organization block    ob   
attack-pattern--0fe075d5-beac-4d02-b93e-0f874997db72,['ics-attack'],['T0887'],Wireless Sniffing,adversaries may seek to capture radio frequency  rf  communication used for remote control and reporting in distributed environments  rf communication frequencies vary between   khz to     ghz  although are commonly between     mhz to   ghz   citation  candell  r_  hany  m_  lee  k  b_  liu y_  quimby  j_  remley  k  april        the wavelength and frequency of the signal affect how the signal propagates through open air  obstacles  e_g  walls and trees  and the type of radio required to capture them  these characteristics are often standardized in the protocol and hardware and may have an effect on how the signal is captured  some examples of wireless protocols that may be found in cyber physical environments are  wirelesshart  zigbee  wia fa  and     mhz public safety spectrum    adversaries may capture rf communications by using specialized hardware  such as software defined radio  sdr   handheld radio  or a computer with radio demodulator tuned to the communication frequency   citation  bastille april       information transmitted over a wireless medium may be captured in transit whether the sniffing device is the intended destination or not  this technique may be particularly useful to an adversary when the communications are not encrypted   citation  gallagher  s  april         in the      dallas siren incident  it is suspected that adversaries likely captured wireless command message broadcasts on a     mhz frequency during a regular test of the system  these messages were later replayed to trigger the alarm systems   citation  gallagher  s  april      
attack-pattern--138979ba-0430-4de6-a128-2fc0b056ba36,['ics-attack'],['T0829'],Loss of View,adversaries may cause a sustained or permanent loss of view where the ics equipment will require local  hands on operator intervention  for instance  a restart or manual operation  by causing a sustained reporting or visibility loss  the adversary can effectively hide the present state of operations  this loss of view can occur without affecting the physical processes themselves    citation  michael j  assante and robert m  lee   citation  tyson macaulay 
attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,['ics-attack'],['T0800'],Activate Firmware Update Mode,adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction  for example  devices such as protection relays may have an operation mode designed for firmware installation  this mode may halt process monitoring and related functions to allow new firmware to be loaded  a device left in update mode may be placed in an inactive holding state if no firmware is provided to it  by entering and leaving a device in this mode  the adversary may deny its usual functionalities 
attack-pattern--1af9e3fd-2bcc-414d-adbd-fe3b95c02ca1,['ics-attack'],['T0831'],Manipulation of Control,adversaries may manipulate physical process control within the industrial environment  methods of manipulating control can include changes to set point values  tags  or other parameters  adversaries may manipulate control systems devices or possibly leverage their own  to communicate with and command physical control processes  the duration of manipulation may be temporary or longer sustained  depending on operator detection      methods of manipulation of control include      man in the middle     spoof command message    changing setpoints    a polish student used a remote controller device to interface with the lodz city tram system in poland   citation  john bill may        citation  shelley smith february        citation  bruce schneier january       using this remote  the student was able to capture and replay legitimate tram signals  as a consequence  four trams were derailed and twelve people injured due to resulting emergency stops   citation  shelley smith february       the track controlling commands issued may have also resulted in tram collisions  a further risk to those on board and nearby the areas of impact   citation  bruce schneier january      
attack-pattern--1b22b676-9347-4c55-9a35-ef0dc653db5b,['ics-attack'],['T0814'],Denial of Service,adversaries may perform denial of service  dos  attacks to disrupt expected device functionality  examples of dos attacks include overwhelming the target device with a high volume of requests in a short time period and sending the target device a request it does not know how to handle  disrupting device state may temporarily render it unresponsive  possibly lasting until a reboot can occur  when placed in this state  devices may be unable to send and receive requests  and may not perform expected response functions in reaction to other events in the environment    some ics devices are particularly sensitive to dos events  and may become unresponsive in reaction to even a simple ping sweep  adversaries may also attempt to execute a permanent denial of service  pdos  against certain devices  such as in the case of the brickerbot malware   citation  ics cert april         adversaries may exploit a software vulnerability to cause a denial of service by taking advantage of a programming error in a program  service  or within the operating system software or kernel itself to execute adversary controlled code  vulnerabilities may exist in software that can be used to cause a denial of service condition    adversaries may have prior knowledge about industrial protocols or control devices used in the environment through  remote system information  there are examples of adversaries remotely causing a  device  by exploiting a vulnerability that induces uncontrolled resource consumption   citation  ics cert august        citation  common weakness enumeration january        citation  mitre march         in the maroochy shire attack  the adversary shut an investigator out of the network_ citation  marshall abrams july      
attack-pattern--1c478716-71d9-46a4-9a53-fa5d576adb60,['ics-attack'],['T0805'],Block Serial COM,adversaries may block access to serial com to prevent instructions or configurations from reaching target devices  serial communication ports  com  allow communication with control system devices  devices can receive command and configuration messages over such serial com  devices also use serial com to send command and reporting messages  blocking device serial com may also block command messages and block reporting messages    a serial to ethernet converter is often connected to a serial com to facilitate communication between serial and ethernet devices  one approach to blocking a serial com would be to create and hold open a tcp session with the ethernet side of the converter  a serial to ethernet converter may have a few ports open to facilitate multiple communications  for example  if there are three serial com available         and       the converter might be listening on the corresponding ports               and        if a tcp ip connection is opened with one of these ports and held open  then the port will be unavailable for use by another party  one way the adversary could achieve this would be to initiate a tcp session with the serial to ethernet converter at   _ _ _  via telnet on serial port   with the following command  telnet   _ _ _        
attack-pattern--23270e54-1d68-4c3b-b763-b25607bcef80,['ics-attack'],['T0850'],Role Identification,adversaries may perform role identification of devices involved with physical processes of interest in a target control system  control systems devices often work in concert to control a physical process  each device can have one or more roles that it performs within that control process  by collecting this role based data  an adversary can construct a more targeted attack_  for example  a power generation plant may have unique devices such as one that monitors power output of a generator and another that controls the speed of a turbine  examining devices roles allows the adversary to observe how the two devices work together to monitor and control a physical process  understanding the role of a target device can inform the adversary's decision on what action to take  in order to cause impact and influence or disrupt the integrity of operations  furthermore  an adversary may be able to capture control system protocol traffic  by studying this traffic  the adversary may be able to determine which devices are outstations  and which are masters  understanding of master devices and their role within control processes can enable the use of rogue master device
attack-pattern--24a9253e-8948-4c98-b751-8e2aee53127c,['ics-attack'],['T0807'],Command-Line Interface,adversaries may utilize command line interfaces  clis  to interact with systems and execute commands  clis provide a means of interacting with computer systems and are a common feature across many types of platforms and devices within control systems environments   citation  enterprise att ck january       adversaries may also use clis to install and run new software  including malicious tools that may be installed over the course of an operation_  clis are typically accessed locally  but can also be exposed via services  such as ssh  telnet  and rdp   commands that are executed in the cli execute with the current permissions level of the process running the terminal emulator  unless the command specifies a change in permissions context  many controllers have cli interfaces for management purposes 
attack-pattern--25852363-5968-4673-b81d-341d5ed90bd1,['ics-attack'],['T0861'],Point & Tag Identification,adversaries may collect point and tag values to gain a more comprehensive understanding of the process environment  points may be values such as inputs  memory locations  outputs or other process specific variables   citation  dennis l  sloatman september       tags are the identifiers given to points for operator convenience    collecting such tags provides valuable context to environmental points and enables an adversary to map inputs  outputs  and other values to their control processes  understanding the points being collected may inform an adversary on which processes and values to keep track of over the course of an operation 
attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,['ics-attack'],['T0816'],Device Restart/Shutdown,adversaries may forcibly restart or shutdown a device in an ics environment to disrupt and potentially negatively impact physical processes  methods of device restart and shutdown exist in some devices as built in  standard functionalities  these functionalities can be executed using interactive device web interfaces  clis  and network protocol commands_  unexpected restart or shutdown of control system devices may prevent expected response functions happening during critical states_  a device restart can also be a sign of malicious device modifications  as many updates require a shutdown in order to take effect 
attack-pattern--2736b752-4ec5-4421-a230-8977dea7649c,['ics-attack'],['T0863'],User Execution,adversaries may rely on a targeted organizations user interaction for the execution of malicious code  user interaction may consist of installing applications  opening email attachments  or granting higher permissions to documents    adversaries may embed malicious code or visual basic code into files such as microsoft word and excel documents or software installers   citation  booz allen hamilton  execution of this code requires that the user enable scripting or write access within the document  embedded code may not always be noticeable to the user especially in cases of trojanized software   citation  daavid hentunen  antti tikkanen june         a chinese spearphishing campaign running from december         through february          delivered malware through spearphishing attachments which required user action to achieve execution   citation  cisa aa      a pipeline intrusion july      
attack-pattern--2877063e-1851-48d2-bcc6-bc1d2733157e,['ics-attack'],['T0860'],Wireless Compromise,adversaries may perform wireless compromise as a method of gaining communications and unauthorized access to a wireless network  access to a wireless network may be gained through the compromise of a wireless device   citation  alexander bolshev  gleb cherbov july        citation  alexander bolshev march       adversaries may also utilize radios and other wireless communication devices on the same frequency as the wireless network  wireless compromise can be done as an initial access vector from a remote distance    in the maroochy shire attack  the adversary used a two way radio to communicate with and set the frequencies of maroochy shire's repeater stations_ citation  marshall abrams july        a polish student used a modified tv remote controller to gain access to and control over the lodz city tram system in poland   citation  john bill may        citation  shelley smith february       the remote controller device allowed the student to interface with the trams network to modify track settings and override operator control  the adversary may have accomplished this by aligning the controller to the frequency and amplitude of ir control protocol signals   citation  bruce schneier january       the controller then enabled initial access to the network  allowing the capture and replay of tram signals   citation  john bill may      
attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,['ics-attack'],['T0858'],Change Operating Mode,adversaries may change the operating mode of a controller to gain additional access to engineering functions such as program download    programmable controllers typically have several modes of operation that control the state of the user program and control access to the controllers api  operating modes can be physically selected using a key switch on the face of the controller but may also be selected with calls to the controllers api  operating modes and the mechanisms by which they are selected often vary by vendor and product line  some commonly implemented operating modes are described below       program   this mode must be enabled before changes can be made to a devices program  this allows program uploads and downloads between the device and an engineering workstation  often the plcs logic is halted  and all outputs may be forced off   citation  n_a  october           run   execution of the devices program occurs in this mode  input and output  values  points  tags  elements  etc_  are monitored and used according to the programs logic   program  and  program  are disabled while in this mode    citation  machine information systems         citation  n_a  october        citation  plcgurus            remote   allows for remote changes to a plcs operation mode   citation  plcgurus             stop   the plc and program is stopped  while in this mode  outputs are forced off   citation  machine information systems            reset   conditions on the plc are reset to their original states  warm resets may retain some memory while cold resets will reset all i o and data registers   citation  machine information systems            test   monitor mode   similar to run mode  i o is processed  although this mode allows for monitoring  force set  resets  and more generally tuning or debugging of the system  often monitor mode may be used as a trial for initialization 
attack-pattern--2900bbd8-308a-4274-b074-5b8bde8347bc,['ics-attack'],['T0878'],Alarm Suppression,adversaries may target protection function alarms to prevent them from notifying operators of critical conditions  alarm messages may be a part of an overall reporting system and of particular interest for adversaries  disruption of the alarm system does not imply the disruption of the reporting system as a whole_  a secura presentation on targeting ot notes a dual fold goal for adversaries attempting alarm suppression  prevent outgoing alarms from being raised and prevent incoming alarms from being responded to   citation  jos wetzels  marina krotofil       the method of suppression may greatly depend on the type of alarm in question       an alarm raised by a protocol message    an alarm signaled with i o    an alarm bit set in a flag  and read    in ics environments  the adversary may have to suppress or contend with multiple alarms and or alarm propagation to achieve a specific goal to evade detection or prevent intended responses from occurring   citation  jos wetzels  marina krotofil        methods of suppression may involve tampering or altering device displays and logs  modifying in memory code to fixed values  or even tampering with assembly level instruction code_  in the maroochy shire attack  the adversary suppressed alarm reporting to the central computer_ citation  marshall abrams july      
attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,['ics-attack'],['T0868'],Detect Operating Mode,adversaries may gather information about a plcs or controllers current operating mode  operating modes dictate what change or maintenance functions can be manipulated and are often controlled by a key switch on the plc  e_g_   run  prog  program   and remote   knowledge of these states may be valuable to an adversary to determine if they are able to reprogram the plc  operating modes and the mechanisms by which they are selected often vary by vendor and product line  some commonly implemented operating modes are described below       program   this mode must be enabled before changes can be made to a devices program  this allows program uploads and downloads between the device and an engineering workstation  often the plcs logic is halted  and all outputs may be forced off   citation  n_a  october           run   execution of the devices program occurs in this mode  input and output  values  points  tags  elements  etc_  are monitored and used according to the programs logic   program  and  program  are disabled while in this mode    citation  machine information systems         citation  n_a  october        citation  plcgurus            remote   allows for remote changes to a plcs operation mode   citation  plcgurus             stop   the plc and program is stopped  while in this mode  outputs are forced off   citation  machine information systems            reset   conditions on the plc are reset to their original states  warm resets may retain some memory while cold resets will reset all i o and data registers   citation  machine information systems            test   monitor mode   similar to run mode  i o is processed  although this mode allows for monitoring  force set  resets  and more generally tuning or debugging of the system  often monitor mode may be used as a trial for initialization 
attack-pattern--2bb4d762-bf4a-4bc3-9318-15cc6a354163,['ics-attack'],['T0837'],Loss of Protection,adversaries may compromise protective system functions designed to prevent the effects of faults and abnormal conditions  this can result in equipment damage  prolonged process disruptions and hazards to personnel    many faults and abnormal conditions in process control happen too quickly for a human operator to react to  speed is critical in correcting these conditions to limit serious impacts such as loss of control and property damage    adversaries may target and disable protective system functions as a prerequisite to subsequent attack execution or to allow for future faults and abnormal conditions to go unchecked  detection of a loss of protection by operators can result in the shutdown of a process due to strict policies regarding protection systems  this can cause a loss of productivity and revenue and may meet the technical goals of adversaries seeking to cause process disruptions 
attack-pattern--2d0d40ad-22fa-4cc8-b264-072557e1364b,['ics-attack'],['T0801'],Monitor Process State,adversaries may gather information about the physical process state  this information may be used to gain more information about the process itself or used as a trigger for malicious actions  the sources of process state information may vary such as  opc tags  historian data  specific plc block information  or network traffic 
attack-pattern--2dc2b567-8821-49f9-9045-8740f3d0b958,['ics-attack'],['T0853'],Scripting,adversaries may use scripting languages to execute arbitrary code in the form of a pre written script or in the form of user supplied code to an interpreter  scripting languages are programming languages that differ from compiled languages  in that scripting languages use an interpreter  instead of a compiler  these interpreters read and compile part of the source code just before it is executed  as opposed to compilers  which compile each and every line of code to an executable file  scripting allows software developers to run their code on any system where the interpreter exists  this way  they can distribute one package  instead of precompiling executables for many different systems  scripting languages  such as python  have their interpreters shipped as a default with many linux distributions    in addition to being a useful tool for developers and administrators  scripting language interpreters may be abused by the adversary to execute code in the target environment  due to the nature of scripting languages  this allows for weaponized code to be deployed to a target easily  and leaves open the possibility of on the fly scripting to perform a task 
attack-pattern--2fedbe69-581f-447d-8a78-32ee7db939a9,['ics-attack'],['T0888'],Remote System Information Discovery,an adversary may attempt to get detailed information about remote systems and their peripherals  such as make model  role  and configuration  adversaries may use information from remote system information discovery to aid in targeting and shaping follow on behaviors  for example  the systems operational role and model information can dictate whether it is a relevant target for the adversary's operational objectives  in addition  the systems configuration may be used to scope subsequent technique usage    requests for system information are typically implemented using automation and management protocols and are often automatically requested by vendor software during normal operation  this information may be used to tailor management actions  such as program download and system or module firmware  an adversary may leverage this same information by issuing calls directly to the systems api 
attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,['ics-attack'],['T0845'],Program Upload,adversaries may attempt to upload a program from a plc to gather information about an industrial process  uploading a program may allow them to acquire and study the underlying logic  methods of program upload include vendor software  which enables the user to upload and read a program running on a plc  this software can be used to upload the target program to a workstation  jump box  or an interfacing device 
attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,['ics-attack'],['T0819'],Exploit Public-Facing Application,adversaries may leverage weaknesses to exploit internet facing software for initial access into an industrial network  internet facing software may be user applications  underlying networking implementations  an assets operating system  weak defenses  etc  targets of this technique may be intentionally exposed for the purpose of remote management and visibility_  an adversary may seek to target public facing applications as they may provide direct access into an ics environment or the ability to move into the ics network  publicly exposed applications may be found through online tools that scan the internet for open ports and services  version numbers for the exposed application may provide adversaries an ability to target specific known vulnerabilities  exposed control protocol or remote access ports found in commonly used port may be of interest by adversaries 
attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,['ics-attack'],['T0811'],Data from Information Repositories,adversaries may target and collect data from information repositories  this can include sensitive data such as specifications  schematics  or diagrams of control system layouts  devices  and processes  examples of information repositories include reference databases or local machines in the process environment  as well as workstations and databases in the corporate network that might contain information about the ics_ citation  cybersecurity   infrastructure security agency march        information collected from these systems may provide the adversary with a better understanding of the operational environment  vendors used  processes  or procedures of the ics_  in a campaign between      and      against ong organizations  chinese state sponsored actors searched document repositories for specific information such as  system manuals  remote terminal unit  rtu  sites  personnel lists  documents that included the string scad   user credentials  and remote dial up access information   citation  cisa aa      a pipeline intrusion july      
attack-pattern--35392fb4-a31d-4c6a-b9f2-1c65b7f5e6b9,['ics-attack'],['T0864'],Transient Cyber Asset,adversaries may target devices that are transient across ics networks and external networks  normally  transient assets are brought into an environment by authorized personnel and do not remain in that environment on a permanent basis   citation  north american electric reliability corporation june       transient assets are commonly needed to support management functions and may be more common in systems where a remotely managed asset is not feasible  external connections for remote access do not exist  or  rd party contractor vendor access is required    adversaries may take advantage of transient assets in different ways  for instance  adversaries may target a transient asset when it is connected to an external network and then leverage its trusted access in another environment to launch an attack  they may also take advantage of installed applications and libraries that are used by legitimate end users to interact with control system devices    transient assets  in some cases  may not be deployed with a secure configuration leading to weaknesses that could allow an adversary to propagate malicious executable code  e_g_  the transient asset may be infected by malware and when connected to an ics environment the malware propagates onto other systems    in the maroochy shire attack  the adversary utilized a computer  possibly stolen  with proprietary engineering software to communicate with a wastewater system_ citation  marshall abrams july      
attack-pattern--36e9f5bc-ac13-4da4-a2f4-01f4877d9004,['ics-attack'],['T0835'],Manipulate I/O Image,adversaries may manipulate the i o image of plcs through various means to prevent them from functioning as expected  methods of i o image manipulation may include overriding the i o table via direct memory manipulation or using the override function used for testing plc programs   citation  dr  kelvin t  erickson december       during the scan cycle  a plc reads the status of all inputs and stores them in an image table   citation  nanjundaiah  vaidyanath  the image table is the plcs internal storage location where values of inputs outputs for one scan are stored while it executes the user program  after the plc has solved the entire logic program  it updates the output image table  the contents of this output image table are written to the corresponding output points in i o modules    one of the unique characteristics of plcs is their ability to override the status of a physical discrete input or to override the logic driving a physical output coil and force the output to a desired status 
